Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.9375,17.9375,17.6875,17.6875,14.105929,557700
2000-01-03,17.5625,18.1875,17.4375,17.6875,14.105929,1509900
2000-01-04,17.3125,17.6875,17.125,17.4375,13.906553,1787100
2000-01-05,17.5625,17.875,17.4375,17.75,14.155771,1285100
2000-01-06,17.75,17.8125,17.5,17.75,14.155771,1139300
2000-01-07,17.8125,17.875,17.25,17.3125,13.806861,1199900
2000-01-10,17.4375,17.4375,17.25,17.3125,13.806861,958200
2000-01-11,17.4375,17.8125,17.25,17.625,14.056086,1914500
2000-01-12,17.375,17.5625,17.25,17.3125,13.806861,936200
2000-01-13,17.3125,17.625,17.1875,17.1875,13.707171,1147800
2000-01-14,17.125,17.1875,16.9375,16.9375,13.507794,1610400
2000-01-18,17.25,17.6875,17.125,17.5625,14.00624,2341900
2000-01-19,17.4375,17.5,17.25,17.3125,13.806861,1563100
2000-01-20,17.1875,17.1875,17,17.0625,13.60749,1494700
2000-01-21,17.0625,17.25,17,17.125,13.657333,1387100
2000-01-24,16.9375,17,16.4375,16.5625,13.208733,2586500
2000-01-25,16.8125,16.8125,16.375,16.5,13.158886,1243200
2000-01-26,16.5,16.625,16.1875,16.25,12.959507,1271800
2000-01-27,16.3125,17,16.1875,16.9375,13.507794,2678400
2000-01-28,16.875,17.0625,16.25,16.3125,13.009353,1335000
2000-01-31,16.375,16.5625,16.25,16.375,13.059196,917700
2000-02-01,16.25,16.3125,15.9375,16.1875,12.909667,740000
2000-02-02,16.5625,16.8125,16.3125,16.375,13.059196,1372200
2000-02-03,16.375,16.6875,16.125,16.5625,13.208733,1819200
2000-02-04,17.25,18.5,17,18.375,14.654216,5253000
2000-02-07,19,19.75,17.6875,17.875,14.255462,6017300
2000-02-08,17.75,17.8125,17.0625,17.25,13.757016,2302000
2000-02-09,17.875,18.625,17.875,18.4375,14.704058,2998300
2000-02-10,18.5625,18.75,18,18.4375,14.704058,2499300
2000-02-11,18.25,18.3125,17.6875,18.3125,14.604368,1831700
2000-02-14,18.1875,18.1875,17.4375,17.5,13.956394,1322000
2000-02-15,17.4375,17.875,17.1875,17.875,14.255462,1620200
2000-02-16,18.0625,18.375,17.8125,17.875,14.255462,1560600
2000-02-17,18.3125,18.375,17.3125,17.3125,13.806861,1090300
2000-02-18,17.5,18,17.4375,17.9375,14.305306,1744400
